sample_index,throw_id,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,1,Forehand,0,0.1074,1.1332,0.1755,-60.36,-3.42,-11.29,22.0,-1.0,-109.0,1.1517,61.51,false
1,1,Forehand,21,0.1047,1.1436,0.1741,-67.26,0.24,-3.17,22.0,-4.0,-112.0,1.1615,67.34,false
2,1,Forehand,47,0.1288,1.1829,0.1692,-68.42,-0.67,10.19,22.0,-4.0,-112.0,1.2018,69.18,false
3,1,Forehand,66,0.1428,1.2052,0.1714,-64.94,-3.11,20.57,22.0,-4.0,-112.0,1.2257,68.19,false
4,1,Forehand,85,0.1538,1.2065,0.1694,-58.72,-8.48,30.27,22.0,-4.0,-112.0,1.2281,66.6,false
5,1,Forehand,106,0.1899,1.1912,0.1725,-52.19,-15.01,38.27,22.0,-4.0,-112.0,1.2185,66.43,false
6,1,Forehand,132,0.2631,1.1737,0.1594,-49.74,-21.06,44.62,22.0,-3.0,-121.0,1.2133,70.06,false
7,1,Forehand,152,0.249,1.1721,0.1926,-48.03,-28.56,52.37,22.0,-3.0,-121.0,1.2137,76.59,false
8,1,Forehand,176,0.2354,1.1628,0.2249,-47.0,-33.87,61.16,22.0,-3.0,-121.0,1.2075,84.24,false
9,1,Forehand,195,0.2567,1.1365,0.2227,-44.31,-40.59,68.79,22.0,-3.0,-121.0,1.1862,91.34,false
10,1,Forehand,217,0.2759,1.1085,0.1991,-37.6,-49.01,71.35,25.0,1.0,-114.0,1.1596,94.37,false
11,1,Forehand,240,0.2771,1.0883,0.1718,-21.48,-61.4,72.08,25.0,1.0,-114.0,1.136,97.1,false
12,1,Forehand,259,0.28,1.0776,0.1294,-11.6,-67.87,74.34,25.0,1.0,-114.0,1.1209,101.33,false
13,1,Forehand,279,0.2815,1.0637,0.1058,-8.36,-70.07,75.93,25.0,1.0,-114.0,1.1054,103.66,false
14,1,Forehand,300,0.2792,1.0372,0.0674,0.06,-74.46,77.88,25.0,1.0,-114.0,1.0763,107.75,false
15,1,Forehand,325,0.2405,1.0306,-0.0348,13.98,-77.64,74.65,26.0,2.0,-117.0,1.0589,108.6,false
16,1,Forehand,345,0.2029,1.0417,-0.077,37.96,-81.54,70.07,26.0,2.0,-117.0,1.0641,114.02,false
17,1,Forehand,370,0.2017,1.0354,-0.1329,64.94,-87.83,64.58,26.0,2.0,-117.0,1.0632,126.89,false
18,1,Forehand,388,0.1913,1.0405,-0.1049,89.05,-93.44,56.82,26.0,2.0,-117.0,1.0631,141.03,false
19,1,Forehand,408,0.1851,1.0525,-0.0796,105.59,-99.3,53.28,26.0,2.0,-117.0,1.0716,154.43,false
20,1,Forehand,434,0.1616,1.0989,-0.0103,115.91,-116.52,68.85,26.0,3.0,-102.0,1.1107,178.19,false
21,1,Forehand,455,0.1255,1.1173,0.0981,126.04,-136.23,90.88,26.0,3.0,-102.0,1.1286,206.65,false
22,1,Forehand,476,0.2292,1.0707,0.1724,144.35,-162.41,109.13,26.0,3.0,-102.0,1.1084,243.16,false
23,1,Forehand,500,0.4224,0.9628,0.2778,153.93,-196.47,126.59,26.0,3.0,-102.0,1.0874,279.86,false
24,1,Forehand,521,0.6185,0.8447,0.3645,144.71,-242.74,148.01,22.0,16.0,-87.0,1.1086,319.01,false
25,1,Forehand,541,0.8684,0.6888,0.4586,112.79,-327.64,187.5,22.0,16.0,-87.0,1.1996,393.99,false
26,1,Forehand,565,0.9652,0.5231,0.4241,82.34,-392.64,233.28,22.0,16.0,-87.0,1.1769,464.07,false
27,1,Forehand,585,1.2084,0.209,0.2421,65.73,-461.24,281.92,22.0,16.0,-87.0,1.25,544.56,false
