sample_index,throw_id,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,1,Hammer,0,-0.4635,-0.1814,0.804,-7.2,-133.24,-97.11,-35.0,10.0,-18.0,0.9456,165.03,false
1,1,Hammer,19,-0.7786,-0.2853,0.9152,3.11,-135.07,-71.53,-35.0,10.0,-18.0,1.2349,152.88,false
2,1,Hammer,39,-0.7567,-0.1833,1.0104,3.48,-105.35,-65.0,-35.0,10.0,-18.0,1.2756,123.84,false
3,1,Hammer,66,-0.6805,-0.3197,0.9186,18.25,-82.89,-47.55,-32.0,23.0,-20.0,1.1871,97.28,false
4,1,Hammer,87,-0.8889,-0.2992,1.0759,27.95,-62.26,-29.6,-32.0,23.0,-20.0,1.4273,74.39,false
5,1,Hammer,107,-0.8724,-0.2737,1.0137,26.98,-30.15,-26.12,-32.0,23.0,-20.0,1.3651,48.16,false
6,1,Hammer,132,-0.8198,-0.3873,0.9525,7.32,-5.92,-27.65,-32.0,23.0,-20.0,1.3151,29.21,false
7,1,Hammer,154,-0.8447,-0.406,1.0247,-2.81,1.4,-6.23,-33.0,23.0,-19.0,1.3886,6.97,false
8,1,Hammer,174,-0.7285,-0.4092,1.1492,-12.76,-0.24,5.74,-33.0,23.0,-19.0,1.4208,13.99,false
9,1,Hammer,199,-0.6857,-0.3151,1.2218,-6.84,-2.08,3.6,-33.0,23.0,-19.0,1.436,8.0,false
10,1,Hammer,220,-0.6768,-0.3271,1.2137,26.37,-7.26,-7.87,-33.0,23.0,-19.0,1.4277,28.46,false
11,1,Hammer,239,-0.6617,-0.4131,1.2577,136.41,-28.2,-38.88,-33.0,23.0,-19.0,1.48,144.62,false
12,1,Hammer,264,-0.6876,-0.2949,1.2225,161.38,-42.48,-52.19,-36.0,24.0,-21.0,1.4333,174.84,false
13,1,Hammer,285,-0.7645,-0.197,1.1327,146.24,-50.35,-47.67,-36.0,24.0,-21.0,1.3807,161.85,false
14,1,Hammer,310,-0.7354,-0.104,1.0796,139.28,-51.09,-36.13,-36.0,24.0,-21.0,1.3104,152.69,false
15,1,Hammer,329,-0.6731,-0.0182,1.0106,163.88,-49.07,-29.05,-36.0,24.0,-21.0,1.2144,173.52,false
16,1,Hammer,349,-0.6986,0.0474,0.9142,216.55,-47.24,-24.05,-43.0,27.0,-32.0,1.1515,222.95,false
17,1,Hammer,375,-0.755,0.1085,0.8553,271.85,-48.4,-2.14,-43.0,27.0,-32.0,1.146,276.13,false
18,1,Hammer,394,-0.7886,0.0927,0.8312,256.04,-44.25,22.71,-43.0,27.0,-32.0,1.1495,260.83,false
19,1,Hammer,414,-0.787,0.0415,0.7894,219.6,-35.83,43.21,-43.0,27.0,-32.0,1.1155,226.67,false
20,1,Hammer,440,-0.7262,0.0055,0.6769,197.81,-31.56,46.75,-43.0,27.0,-32.0,0.9928,205.7,false
21,1,Hammer,462,-0.7319,0.0299,0.5269,198.06,-30.64,40.41,-47.0,26.0,-49.0,0.9023,204.45,false
22,1,Hammer,480,-0.7966,0.04,0.2966,181.21,-7.32,51.15,-47.0,26.0,-49.0,0.851,188.44,false
23,1,Hammer,505,-0.9006,-0.069,0.2346,141.36,28.02,71.66,-47.0,26.0,-49.0,0.9332,160.94,false
24,1,Hammer,524,-0.7975,-0.2476,0.2968,91.98,54.69,77.76,-47.0,26.0,-49.0,0.8862,132.28,false
25,1,Hammer,544,-0.6998,-0.375,0.4108,77.15,55.24,56.95,-47.0,26.0,-49.0,0.8939,110.66,false
26,1,Hammer,570,-0.6953,-0.4283,0.5588,125.12,36.68,22.64,-47.0,22.0,-55.0,0.9896,132.34,false
27,1,Hammer,591,-0.8752,-0.4418,0.8092,177.67,18.74,-0.85,-47.0,22.0,-55.0,1.2712,178.66,false
28,1,Hammer,611,-1.0653,-0.5454,1.8167,201.23,-18.43,-11.41,-47.0,22.0,-55.0,2.1754,202.4,false
29,1,Hammer,635,-0.8357,-0.7017,2.712,157.78,-95.28,-33.57,-47.0,22.0,-55.0,2.9233,187.34,false
30,1,Hammer,635,-0.8357,-0.7017,2.712,157.78,-95.28,-33.57,-47.0,22.0,-55.0,2.9233,187.34,false
31,1,Hammer,660,-0.3129,-0.778,3.3948,105.59,-228.94,-88.44,-43.0,22.0,-80.0,3.4968,267.18,false
32,1,Hammer,680,1.0452,-0.5159,3.8158,83.56,-497.86,-207.03,-43.0,22.0,-80.0,3.9898,545.63,false
33,1,Hammer,704,2.5267,-0.2207,3.8446,42.85,-680.42,-276.73,-43.0,22.0,-80.0,4.6059,735.79,false
34,1,Hammer,724,3.9861,-0.2228,3.751,-67.81,-852.54,-297.3,-43.0,22.0,-80.0,5.478,905.43,false
35,1,Hammer,744,4.0,-0.564,3.4779,-228.94,-1017.15,-224.0,-43.0,22.0,-80.0,5.3305,1066.39,false
36,1,Hammer,768,3.9778,-0.9524,3.0868,-337.04,-1141.54,-36.56,-39.0,16.0,-104.0,5.1243,1190.82,false
37,1,Hammer,789,3.9969,-1.4655,2.7626,-246.7,-1210.63,191.28,-39.0,16.0,-104.0,5.0749,1250.23,false
38,1,Hammer,814,4.0,-2.7233,-0.8121,375.73,-1342.71,408.94,-39.0,16.0,-104.0,4.9067,1453.02,false
39,1,Hammer,834,3.9996,-1.4088,-4.0,914.55,-1324.34,153.81,-39.0,16.0,-104.0,5.8294,1616.77,false
40,1,Hammer,855,4.0,3.0334,-4.0,1037.41,-547.67,-478.09,-32.0,-2.0,-116.0,6.4189,1266.78,false
41,1,Hammer,881,4.0,3.8804,-3.9381,668.03,1159.36,-367.43,-32.0,-2.0,-116.0,6.8239,1387.58,false
42,1,Hammer,900,4.0,2.0502,-1.0562,87.65,2000.0,110.05,-32.0,-2.0,-116.0,4.6172,2004.94,false
43,1,Hammer,921,4.0,0.8855,0.0002,27.59,2000.0,9.58,-32.0,-2.0,-116.0,4.0968,2000.21,false
