sample_index,throw_id,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,1,Forehand,0,-0.0383,0.5417,-0.8308,-40.89,-120.48,-9.83,18.0,13.0,-155.0,0.9926,127.61,false
1,1,Forehand,20,-0.0277,0.5242,-0.8239,-56.4,-131.65,10.68,18.0,13.0,-155.0,0.9769,143.62,false
2,1,Forehand,45,0.0823,0.5604,-0.8984,-65.06,-126.53,26.55,18.0,13.0,-155.0,1.0621,144.73,false
3,1,Forehand,65,0.098,0.6107,-1.0806,-49.74,-111.33,34.55,18.0,13.0,-155.0,1.2451,126.74,false
4,1,Forehand,92,0.1033,0.6022,-1.0909,15.81,-92.35,43.7,17.0,9.0,-152.0,1.2504,103.38,false
5,1,Forehand,112,0.1412,0.5906,-0.9619,44.98,-88.5,57.19,17.0,9.0,-152.0,1.1375,114.57,false
6,1,Forehand,133,0.1993,0.6117,-0.7759,38.33,-90.58,72.14,17.0,9.0,-152.0,1.0079,121.98,false
7,1,Forehand,158,0.2004,0.7633,-0.5364,-13.31,-92.1,76.42,17.0,9.0,-152.0,0.9542,120.41,false
8,1,Forehand,179,0.1416,0.8912,-0.4567,-45.84,-82.82,64.03,19.0,8.0,-150.0,1.0114,114.28,false
9,1,Forehand,199,0.0421,0.9888,-0.4213,-59.08,-69.4,47.67,19.0,8.0,-150.0,1.0756,102.85,false
10,1,Forehand,223,-0.0811,1.0646,-0.4204,-56.58,-62.38,37.96,19.0,8.0,-150.0,1.1474,92.38,false
11,1,Forehand,242,-0.0271,1.1307,-0.4821,-52.49,-66.41,29.54,19.0,8.0,-150.0,1.2295,89.65,false
12,1,Forehand,263,0.0348,1.2008,-0.5233,-54.87,-78.37,13.06,19.0,8.0,-150.0,1.3103,96.56,false
13,1,Forehand,288,0.1437,1.2443,-0.5715,-66.22,-88.87,-22.83,17.0,7.0,-147.0,1.3768,113.15,false
14,1,Forehand,309,0.1589,1.1632,-0.6564,-75.13,-93.57,-43.95,17.0,7.0,-147.0,1.345,127.79,false
15,1,Forehand,333,0.2025,1.0819,-0.6281,-75.68,-107.12,-60.97,17.0,7.0,-147.0,1.2673,144.64,false
16,1,Forehand,352,0.2858,1.0129,-0.4932,-78.06,-117.31,-77.27,17.0,7.0,-147.0,1.1623,160.71,false
17,1,Forehand,373,0.3523,0.9081,-0.3656,-93.2,-115.48,-92.1,17.0,7.0,-147.0,1.0404,174.66,false
18,1,Forehand,400,0.3915,0.7526,-0.3473,-137.39,-114.75,-98.14,8.0,-1.0,-148.0,0.9166,204.14,false
19,1,Forehand,419,0.3833,0.5809,-0.4749,-143.8,-121.52,-92.71,8.0,-1.0,-148.0,0.8425,209.86,false
20,1,Forehand,440,0.4263,0.4462,-0.5762,-125.31,-128.48,-86.85,8.0,-1.0,-148.0,0.8442,199.38,false
21,1,Forehand,465,0.3701,0.3163,-0.5658,-99.73,-140.01,-72.14,8.0,-1.0,-148.0,0.7464,186.43,false
22,1,Forehand,486,0.3904,0.2266,-0.5692,-89.36,-152.53,-46.26,0.0,-4.0,-127.0,0.7265,182.73,false
23,1,Forehand,507,0.3744,0.0952,-0.7468,-85.88,-175.96,-4.09,0.0,-4.0,-127.0,0.8408,195.84,false
24,1,Forehand,531,0.3416,-0.0123,-0.9631,-59.51,-209.53,20.94,0.0,-4.0,-127.0,1.022,218.82,false
25,1,Forehand,552,0.1947,-0.2314,-1.1866,-15.99,-268.19,41.5,0.0,-4.0,-127.0,1.2246,271.85,false
26,1,Forehand,573,-0.1456,-0.4668,-1.2299,34.48,-356.75,70.01,0.0,-4.0,-127.0,1.3235,365.19,false
27,1,Forehand,600,-0.9457,-0.9075,-0.9481,84.53,-502.56,124.39,-4.0,-9.0,-100.0,1.6176,524.58,false
