sample_index,throw_id,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,17,Hammer,0,0.7045,0.7395,0.3647,17.76,-43.52,-44.25,9.0,-12.0,-89.0,1.0845,64.56,false
1,17,Hammer,25,0.7429,0.7415,0.3638,10.8,-45.47,-55.42,9.0,-12.0,-89.0,1.1109,72.5,false
2,17,Hammer,46,0.7803,0.7787,0.3983,7.39,-51.09,-64.21,8.0,-11.0,-86.0,1.1721,82.38,false
3,17,Hammer,65,0.7867,0.7999,0.4161,11.35,-58.47,-58.47,8.0,-11.0,-86.0,1.1967,83.47,false
4,17,Hammer,91,0.828,0.8094,0.4108,14.83,-62.19,-50.9,8.0,-11.0,-86.0,1.2286,81.73,false
5,17,Hammer,111,0.8733,0.8046,0.4296,17.94,-68.66,-49.07,8.0,-11.0,-86.0,1.2627,86.28,false
6,17,Hammer,136,0.8988,0.8109,0.448,24.11,-82.82,-61.95,3.0,-13.0,-71.0,1.2908,106.2,false
7,17,Hammer,157,0.9139,0.8376,0.5045,32.17,-91.55,-73.18,3.0,-13.0,-71.0,1.3385,121.54,false
8,17,Hammer,178,0.9253,0.8468,0.5458,41.44,-98.08,-84.23,3.0,-13.0,-71.0,1.3679,135.77,false
9,17,Hammer,202,0.9596,0.8578,0.5541,46.69,-103.03,-92.83,3.0,-13.0,-71.0,1.4013,146.33,false
10,17,Hammer,223,1.0015,0.8693,0.5641,48.34,-108.58,-100.1,3.0,-13.0,-71.0,1.4411,155.39,false
11,17,Hammer,249,1.0203,0.9016,0.5503,49.44,-114.07,-111.45,-8.0,-10.0,-55.0,1.4686,166.97,false
12,17,Hammer,267,0.9536,0.9733,0.6128,62.87,-112.37,-125.31,-8.0,-10.0,-55.0,1.494,179.67,false
13,17,Hammer,287,0.9597,0.9631,0.6143,75.32,-105.59,-129.52,-8.0,-10.0,-55.0,1.492,183.29,false
14,17,Hammer,307,1.0155,0.9202,0.5901,80.44,-103.94,-135.19,-8.0,-10.0,-55.0,1.492,188.55,false
15,17,Hammer,333,1.0482,0.8828,0.6051,77.7,-107.73,-146.55,-17.0,-11.0,-42.0,1.4981,197.78,false
16,17,Hammer,354,1.0223,0.8845,0.6421,74.95,-113.83,-165.22,-17.0,-11.0,-42.0,1.4966,214.18,false
17,17,Hammer,374,0.9261,0.9498,0.6996,81.54,-113.89,-185.79,-17.0,-11.0,-42.0,1.4998,232.68,false
18,17,Hammer,398,0.9076,0.9426,0.7207,88.56,-110.6,-189.15,-17.0,-11.0,-42.0,1.4939,236.33,false
19,17,Hammer,418,0.9069,0.9121,0.7396,94.42,-115.11,-198.73,-17.0,-11.0,-42.0,1.4837,248.31,false
20,17,Hammer,445,0.9027,0.9021,0.7369,102.6,-126.71,-215.09,-33.0,-1.0,-29.0,1.4737,269.9,false
21,17,Hammer,464,0.8708,0.8911,0.7042,114.93,-141.3,-222.66,-33.0,-1.0,-29.0,1.4312,287.66,false
22,17,Hammer,483,0.8312,0.8855,0.6858,126.4,-154.85,-220.46,-33.0,-1.0,-29.0,1.3947,297.59,false
23,17,Hammer,504,0.7086,0.8561,0.6921,154.66,-159.55,-204.77,-33.0,-1.0,-29.0,1.3092,302.17,false
24,17,Hammer,527,0.7268,0.6799,0.7333,174.56,-155.58,-190.49,-33.0,-1.0,-29.0,1.2362,301.6,false
25,17,Hammer,549,1.0543,0.463,0.7814,180.24,-157.96,-172.36,-44.0,6.0,-24.0,1.3916,295.2,false
26,17,Hammer,568,1.5055,0.1763,0.8596,159.55,-180.3,-137.94,-44.0,6.0,-24.0,1.7426,277.47,false
27,17,Hammer,591,2.0118,-0.1359,0.7374,112.06,-236.02,-90.88,-44.0,6.0,-24.0,2.147,276.63,false
28,17,Hammer,612,2.4199,-0.3551,0.2922,39.31,-326.35,-47.61,-44.0,6.0,-24.0,2.4632,332.14,false
29,17,Hammer,638,2.7219,-0.4478,-0.1957,-45.65,-432.98,-26.61,-45.0,24.0,-33.0,2.7654,436.2,false
30,17,Hammer,638,2.7219,-0.4478,-0.1957,-45.65,-432.98,-26.61,-45.0,24.0,-33.0,2.7654,436.2,false
31,17,Hammer,659,3.4115,-0.5957,-1.4668,-152.28,-609.25,20.87,-45.0,24.0,-33.0,3.7609,628.34,false
32,17,Hammer,680,3.7806,-0.9813,-3.2455,-192.69,-761.23,145.94,-45.0,24.0,-33.0,5.0783,798.68,false
33,17,Hammer,705,3.5806,-1.6744,-4.0,-159.73,-918.46,317.99,-45.0,24.0,-33.0,5.6235,984.99,false
34,17,Hammer,726,3.3746,-2.0819,-3.9731,-4.21,-1060.97,302.19,-45.0,24.0,-33.0,5.6132,1103.18,false
35,17,Hammer,751,2.9335,-2.4524,-3.9963,54.75,-1092.96,152.16,-38.0,27.0,-83.0,5.5308,1104.85,false
36,17,Hammer,772,1.7493,-3.092,-4.0,85.14,-1128.23,-38.76,-38.0,27.0,-83.0,5.3498,1132.11,false
37,17,Hammer,792,-0.6774,-3.8564,-3.9996,102.84,-1176.64,-326.35,-38.0,27.0,-83.0,5.5971,1225.38,false
38,17,Hammer,817,-3.9999,-0.799,-4.0,-372.86,-729.68,-1054.2,-38.0,27.0,-83.0,5.7129,1335.21,false
39,17,Hammer,839,-3.9999,3.5887,-4.0,-455.63,561.65,-1136.72,-28.0,39.0,-89.0,6.6991,1347.28,false
40,17,Hammer,859,-1.5656,2.2655,-4.0,200.44,1898.99,-470.46,-28.0,39.0,-89.0,4.8563,1966.64,false
41,17,Hammer,881,4.0,-0.488,-4.0,451.48,2000.0,21.91,-28.0,39.0,-89.0,5.6779,2050.44,false
42,17,Hammer,901,2.0839,0.2634,-3.4298,1.95,1984.99,-118.53,-28.0,39.0,-89.0,4.0219,1988.52,false
43,17,Hammer,922,1.2435,0.1898,-3.1675,27.16,1999.15,-222.66,-28.0,39.0,-89.0,3.4081,2011.69,false
44,17,Hammer,946,1.0024,0.0597,-3.0118,66.89,1999.63,-95.34,-20.0,8.0,-135.0,3.1748,2003.02,false
45,17,Hammer,966,1.0074,-0.0083,-2.6943,60.61,1999.82,39.49,-20.0,8.0,-135.0,2.8765,2001.12,false
46,17,Hammer,992,1.2283,-0.1439,-2.5406,7.87,2000.0,120.73,-20.0,8.0,-135.0,2.8256,2003.66,false
47,17,Hammer,1012,1.5205,-0.2026,-2.6506,-68.54,2000.0,86.49,-20.0,8.0,-135.0,3.0625,2003.04,false
48,17,Hammer,1032,1.5079,-0.3871,-2.9102,-133.36,1999.94,-24.66,-31.0,-12.0,-91.0,3.3004,2004.53,false
49,17,Hammer,1057,1.2545,-0.4457,-3.0538,-107.91,1999.33,-174.62,-31.0,-12.0,-91.0,3.3314,2009.84,false
50,17,Hammer,1076,1.0762,-0.4591,-2.8635,-13.49,1999.39,-170.72,-31.0,-12.0,-91.0,3.0933,2006.71,false
51,17,Hammer,1095,1.1129,-0.1536,-2.6901,40.83,1999.51,-135.44,-31.0,-12.0,-91.0,2.9152,2004.51,false
52,17,Hammer,1115,1.2472,-0.1294,-2.6006,106.26,2000.0,34.67,-31.0,-12.0,-91.0,2.8871,2003.12,false
53,17,Hammer,1139,1.4805,-0.2719,-2.6948,48.52,2000.0,94.79,-44.0,1.0,-28.0,3.0867,2002.83,false
54,17,Hammer,1160,1.4761,-0.2556,-2.913,-68.12,2000.0,59.57,-44.0,1.0,-28.0,3.2756,2002.05,false
55,17,Hammer,1185,1.2961,-0.3322,-3.0054,-167.3,1999.69,-85.27,-44.0,1.0,-28.0,3.2898,2008.49,false
56,17,Hammer,1205,1.0985,-0.1572,-2.8315,-113.65,1999.45,-155.88,-44.0,1.0,-28.0,3.0412,2008.74,false
