sample_index,throw_id,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,43,Scoober,0,-0.3153,0.1498,-0.796,-142.09,-29.42,-120.3,14.0,15.0,-153.0,0.8692,188.49,false
1,43,Scoober,19,-0.2935,0.1594,-0.8105,-125.37,-37.66,-127.75,14.0,15.0,-153.0,0.8767,182.9,false
2,43,Scoober,44,-0.3774,0.1461,-0.9989,-126.16,-34.12,-133.12,14.0,15.0,-153.0,1.0778,186.55,false
3,43,Scoober,65,-0.3511,0.1038,-0.6508,-131.23,-34.18,-139.95,14.0,15.0,-153.0,0.7467,194.87,false
4,43,Scoober,87,-0.343,0.0638,-0.7399,-117.19,-34.06,-143.62,4.0,7.0,-154.0,0.818,188.46,false
5,43,Scoober,110,-0.2922,0.012,-0.8218,-90.58,-30.03,-131.59,4.0,7.0,-154.0,0.8723,162.55,false
6,43,Scoober,130,-0.3057,0.1169,-0.8577,-58.04,-23.5,-128.78,4.0,7.0,-154.0,0.918,143.2,false
7,43,Scoober,151,-0.301,0.1063,-0.8934,-28.99,-15.5,-128.23,4.0,7.0,-154.0,0.9488,132.38,false
8,43,Scoober,175,-0.3092,0.0729,-0.8915,-21.48,-11.35,-127.93,4.0,7.0,-154.0,0.9464,130.22,false
9,43,Scoober,196,-0.3347,0.099,-0.855,-33.26,-12.45,-132.63,4.0,5.0,-158.0,0.9235,137.3,false
10,43,Scoober,222,-0.3323,0.0015,-0.8953,-39.98,-21.73,-134.46,4.0,5.0,-158.0,0.9549,141.95,false
11,43,Scoober,240,-0.2682,-0.0571,-0.9125,-36.01,-24.66,-134.52,4.0,5.0,-158.0,0.9528,141.42,false
12,43,Scoober,258,-0.2839,-0.076,-0.9108,-25.21,-27.34,-136.66,4.0,5.0,-158.0,0.957,141.63,false
13,43,Scoober,284,-0.264,-0.0815,-0.8922,-14.89,-28.02,-143.8,-1.0,4.0,-152.0,0.934,147.26,false
14,43,Scoober,305,-0.2375,-0.1544,-0.9758,-18.31,-28.32,-148.5,-1.0,4.0,-152.0,1.0161,152.28,false
