sample_index,throw_id,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,36,Scoober,0,0.5161,0.2648,-0.8026,20.45,-18.49,-55.3,11.0,6.0,-154.0,0.9903,61.79,false
1,36,Scoober,19,0.5132,0.1528,-0.7603,21.55,-8.42,-61.71,11.0,6.0,-154.0,0.9299,65.9,false
2,36,Scoober,40,0.4344,0.1345,-0.7904,26.79,-0.12,-68.79,11.0,6.0,-154.0,0.9119,73.82,false
3,36,Scoober,65,0.3651,0.1279,-0.8096,33.14,3.91,-76.72,10.0,0.0,-154.0,0.8973,83.66,false
4,36,Scoober,85,0.361,0.13,-0.8314,38.88,7.14,-83.98,10.0,0.0,-154.0,0.9157,92.82,false
5,36,Scoober,109,0.316,0.0374,-0.7966,44.43,3.11,-93.44,10.0,0.0,-154.0,0.8578,103.52,false
6,36,Scoober,130,0.2698,-0.0803,-0.7853,30.88,8.18,-108.7,10.0,0.0,-154.0,0.8342,113.3,false
7,36,Scoober,150,0.3174,0.0442,-0.8267,21.24,7.14,-127.44,10.0,0.0,-154.0,0.8866,129.4,false
8,36,Scoober,175,0.3096,-0.0377,-0.8422,19.9,5.68,-138.61,11.0,3.0,-152.0,0.8981,140.15,false
9,36,Scoober,196,0.2891,0.0212,-0.9283,25.21,2.99,-142.4,11.0,3.0,-152.0,0.9725,144.64,false
10,36,Scoober,221,0.452,0.1426,-1.0483,54.69,-7.93,-142.76,11.0,3.0,-152.0,1.1505,153.08,false
11,36,Scoober,240,0.3685,0.0145,-1.0232,70.37,-9.46,-135.01,11.0,3.0,-152.0,1.0876,152.54,false
12,36,Scoober,261,0.3126,0.0288,-1.0135,76.66,-5.25,-127.81,12.0,-4.0,-152.0,1.0611,149.13,false
13,36,Scoober,287,0.3263,-0.0149,-0.9966,78.67,-3.17,-125.55,12.0,-4.0,-152.0,1.0487,148.2,false
14,36,Scoober,307,0.3607,-0.1256,-0.9536,69.46,-7.69,-132.14,12.0,-4.0,-152.0,1.0273,149.48,false
15,36,Scoober,327,0.3838,-0.1545,-0.9384,62.26,-12.63,-132.93,12.0,-4.0,-152.0,1.0255,147.33,false
16,36,Scoober,351,0.39,-0.1332,-0.9163,60.18,-16.78,-132.45,12.0,-4.0,-152.0,1.0047,146.44,false
17,36,Scoober,373,0.3966,-0.1692,-0.9248,61.34,-20.63,-128.91,11.0,-2.0,-149.0,1.0204,144.24,false
18,36,Scoober,398,0.4109,-0.1884,-0.9102,69.76,-27.04,-118.29,11.0,-2.0,-149.0,1.0162,139.96,false
19,36,Scoober,418,0.4305,-0.2098,-0.9174,72.51,-33.08,-118.65,11.0,-2.0,-149.0,1.0349,142.93,false
20,36,Scoober,439,0.4612,-0.2411,-0.9406,69.82,-41.02,-124.76,11.0,-2.0,-149.0,1.0749,148.73,false
21,36,Scoober,464,0.5321,-0.2834,-0.9193,66.71,-47.97,-133.73,5.0,-4.0,-146.0,1.0994,156.96,false
22,36,Scoober,485,0.592,-0.3351,-0.9114,65.8,-53.83,-142.76,5.0,-4.0,-146.0,1.1373,166.16,false
23,36,Scoober,502,0.6671,-0.4241,-0.9358,65.25,-60.73,-150.33,5.0,-4.0,-146.0,1.225,174.77,false
24,36,Scoober,527,0.7762,-0.517,-0.9583,63.78,-72.14,-160.95,5.0,-4.0,-146.0,1.3372,187.56,false
25,36,Scoober,548,0.9022,-0.6239,-0.9872,60.12,-79.77,-171.26,5.0,-4.0,-146.0,1.4757,198.27,false
26,36,Scoober,573,1.0239,-0.7463,-1.0284,54.69,-87.16,-185.85,2.0,-10.0,-136.0,1.6319,212.43,false
27,36,Scoober,593,1.1698,-0.9706,-1.0834,52.86,-94.36,-205.51,2.0,-10.0,-136.0,1.8666,232.23,false
28,36,Scoober,614,1.3865,-1.3588,-1.1893,29.72,-123.9,-260.62,2.0,-10.0,-136.0,2.2766,290.1,false
29,36,Scoober,637,1.5781,-1.6534,-1.473,4.39,-140.87,-289.98,2.0,-10.0,-136.0,2.7192,322.41,false
30,36,Scoober,637,1.5781,-1.6534,-1.473,4.39,-140.87,-289.98,2.0,-10.0,-136.0,2.7192,322.41,false
31,36,Scoober,661,1.4288,-1.5128,-1.6295,-73.24,-192.2,-364.81,-18.0,-14.0,-119.0,2.643,418.8,false
32,36,Scoober,681,1.3932,-1.4202,-1.7655,-102.17,-219.6,-371.09,-18.0,-14.0,-119.0,2.6599,443.14,false
33,36,Scoober,706,1.4731,-1.389,-1.9106,-132.39,-245.06,-345.89,-18.0,-14.0,-119.0,2.7839,444.09,false
34,36,Scoober,726,1.4211,-1.355,-1.837,-184.27,-264.71,-313.17,-18.0,-14.0,-119.0,2.6889,449.56,false
35,36,Scoober,746,1.3319,-1.2408,-1.6973,-278.75,-265.62,-310.18,-18.0,-14.0,-119.0,2.4889,494.44,false
36,36,Scoober,772,0.9514,-0.5782,-1.408,-297.36,-246.89,-305.18,-41.0,-3.0,-65.0,1.795,492.45,false
37,36,Scoober,793,0.7085,-0.3862,-1.283,-280.88,-222.96,-282.71,-41.0,-3.0,-65.0,1.5156,456.66,false
38,36,Scoober,818,0.3872,-0.3125,-1.2047,-265.2,-199.95,-264.65,-41.0,-3.0,-65.0,1.3034,424.68,false
39,36,Scoober,838,0.255,-0.2946,-1.2142,-258.3,-197.39,-246.46,-41.0,-3.0,-65.0,1.2752,407.95,false
40,36,Scoober,864,0.153,-0.1425,-1.1437,-229.37,-185.36,-211.91,-47.0,9.0,-34.0,1.1626,363.15,false
41,36,Scoober,884,-0.1212,0.1096,-1.1768,-169.07,-153.2,-181.64,-47.0,9.0,-34.0,1.1881,291.63,false
42,36,Scoober,905,-0.6428,0.0601,-1.2915,-96.19,-111.63,-161.44,-47.0,9.0,-34.0,1.4439,218.58,false
43,36,Scoober,930,-1.762,-0.4856,-1.8848,16.78,-23.01,-166.08,-47.0,9.0,-34.0,2.6254,168.5,false
44,36,Scoober,949,-3.1283,-1.1608,-2.6531,119.38,30.15,-233.22,-47.0,9.0,-34.0,4.2629,263.73,false
45,36,Scoober,975,-3.9999,-1.7834,-3.3885,158.87,59.63,-386.6,-49.0,20.0,-37.0,5.5373,422.2,false
46,36,Scoober,995,-3.9999,-1.115,-3.9833,174.5,240.11,-472.29,-49.0,20.0,-37.0,5.754,557.82,false
47,36,Scoober,1016,-3.9794,-0.6005,-4.0,416.26,869.63,-413.27,-49.0,20.0,-37.0,5.6741,1048.96,false
48,36,Scoober,1040,-3.9999,-1.467,-3.9929,681.82,1932.25,40.77,-49.0,20.0,-37.0,5.8391,2049.42,false
49,36,Scoober,1062,-2.6132,-0.2035,-3.6968,213.62,2000.0,333.86,-44.0,6.0,-93.0,4.5317,2038.9,false
50,36,Scoober,1086,1.3558,0.5144,-2.2832,-362.3,1993.59,255.8,-44.0,6.0,-93.0,2.7048,2042.33,false
51,36,Scoober,1107,0.6582,-0.6758,-2.2277,-531.92,2000.0,1.22,-44.0,6.0,-93.0,2.4192,2069.53,false
52,36,Scoober,1128,0.6489,-0.2091,-1.9583,-450.87,1999.15,-229.25,-44.0,6.0,-93.0,2.0735,2062.14,false
53,36,Scoober,1153,0.9014,0.0142,-1.7382,-159.24,1998.47,-373.72,-44.0,6.0,-93.0,1.958,2039.34,false
54,36,Scoober,1176,1.0265,-0.46,-1.7114,171.14,1998.6,-359.37,-50.0,13.0,-59.0,2.048,2037.85,false
55,36,Scoober,1195,1.1497,-0.9966,-2.0775,440.12,1999.76,-67.14,-50.0,13.0,-59.0,2.5751,2048.72,false
56,36,Scoober,1219,1.0337,-0.4288,-2.3488,303.28,2000.0,169.74,-50.0,13.0,-59.0,2.6017,2029.97,false
57,36,Scoober,1239,0.8293,-0.1969,-2.3088,12.82,2000.0,307.56,-50.0,13.0,-59.0,2.4612,2023.55,false
